,StationName,WaterYear,pH,H (ueq/L),Ca (ueq/L),Mg (ueq/L),Na (ueq/L),K (ueq/L),NH4 (ueq/L),Cl (ueq/L),SO4 (ueq/L),NO3 (ueq/L),DOC (mg/L),Snow Depth (cm)
481,ELKHART PARK WY,2006,5.3,5,1.5,<0.2,<1,<0.4,3.2,1.1,3.5,5.8,0.38,119
482,ELKHART PARK WY,2007,5.3,5,16.6,1.2,1.2,0.6,3.7,0.8,4.2,6.6,0.52,86
483,ELKHART PARK WY,2008,5.1,7.9,6,0.8,<1,0.8,5.3,0.8,4.2,7.3,0.86,107
484,ELKHART PARK WY,2009,5.9,1.3,8,1.6,3.9,1.2,4.2,3.1,4.6,6.3,0.66,107
485,ELKHART PARK WY,2010,5.1,7.9,5,1.6,1.3,0.5,6.7,0.8,5.2,9.9,0.57,84
486,ELKHART PARK WY,2011,5.4,4,4.5,1.1,<1,0.8,3.3,<0.6,3.3,4.7,0.71,137
487,ELKHART PARK WY,2012,5.2,6.3,9.5,2.5,3,1,5.8,1.9,4.6,4.4,0.8,127
488,ELKHART PARK WY,2013,5.2,6.3,5.5,<1.6,1.3,1.3,7.2,1.1,4.4,7.9,0.8,104
489,ELKHART PARK WY,2014,5.8,1.6,4,<0.8,1.5,0.4,5.2,1,2.5,3.8,0.38,206
490,ELKHART PARK WY,2015,5.3,5,3.1,1.1,1.1,0.6,3.7,1.1,2.1,3.9,0.33,102
491,ELKHART PARK WY,2016,5.7,2,4.5,0.8,2.2,0.3,4.8,1.1,2.7,4.4,<0.2,86
492,ELKHART PARK WY,2017,6,1,6.5,1.6,1.7,0.3,3.8,1.1,2.9,4.8,0.28,180
493,ELKHART PARK WY,2018,5.9,1.3,6.7,1.6,3,0.5,6.7,1.7,4,4.8,0.41,145
2253,ELKHART PARK WY,1993,5.4,4,<3.1,<1.7,<3,0.5,8.9,<1.1,6,5.4,0.3,135
2254,ELKHART PARK WY,1994,5.3,5,3.5,<1.7,<3,<0.5,4.7,1.1,5.6,6.4,0.5,117
2255,ELKHART PARK WY,1995,5.1,7.9,4,<1.7,<3,<0.5,4.2,<1.1,8.5,7.4,0.7,142
2256,ELKHART PARK WY,1995,,,,,,,,,,,,142
2257,ELKHART PARK WY,1996,5.3,5,3.5,<1.7,1.3,0.8,3.2,1.1,4.4,5.4,0.7,142
2258,ELKHART PARK WY,1997,5.2,6.3,<3.1,<1.7,,0.5,2.2,1.1,4,5.4,0.8,157
2259,ELKHART PARK WY,1998,5.3,5,6.5,1.6,5.7,0.5,3.7,2.3,8.1,8.1,0.4,127
2260,ELKHART PARK WY,1999,5.2,6.3,5,0.8,1.3,0.9,4.9,1.4,5.6,7.4,0.4,127
2261,ELKHART PARK WY,2000,5.3,5,4,1.6,1.8,0.4,4.3,<0.6,4.4,6.4,0.4,127
2262,ELKHART PARK WY,2001,5.1,7.9,4,0.8,1.3,<0.4,3.5,<0.6,5.8,10.3,0.7,112
2263,ELKHART PARK WY,2002,5.3,5,6,0.8,1.7,0.8,5.5,1.1,5.2,7.5,0.51,119
2264,ELKHART PARK WY,2003,5.6,2.5,8.5,4,3.2,0.9,8.6,1.4,6.9,7.7,0.68,124
2265,ELKHART PARK WY,2004,5.1,7.9,3.4,0.7,<1,<0.4,3.3,0.8,5.6,7.4,0.61,109
2266,ELKHART PARK WY,2005,5.2,6.3,1.5,0.8,<1,1,4.3,0.6,4.2,6.6,0.88,112
2267,ELKHART PARK WY,2006,5.3,5,1.5,<0.2,<1,<0.4,3.2,1.1,3.5,5.8,0.38,119
2268,ELKHART PARK WY,2007,5.3,5,16.6,1.2,1.2,0.6,3.7,0.8,4.2,6.6,0.52,86
2269,ELKHART PARK WY,2008,5.1,7.9,6,0.8,<1,0.8,5.3,0.8,4.2,7.3,0.86,107
2270,ELKHART PARK WY,2009,5.9,1.3,8,1.6,3.9,1.2,4.2,3.1,4.6,6.3,0.66,107
2271,ELKHART PARK WY,2010,5.1,7.9,5,1.6,1.3,0.5,6.7,0.8,5.2,9.9,0.57,84
2272,ELKHART PARK WY,2011,5.4,4,4.5,1.1,<1,0.8,3.3,<0.6,3.3,4.7,0.71,137
2273,ELKHART PARK WY,2012,5.2,6.3,9.5,2.5,3,1,5.8,1.9,4.6,4.4,0.8,127
2274,ELKHART PARK WY,2013,5.2,6.3,5.5,<1.6,1.3,1.3,7.2,1.1,4.4,7.9,0.8,104
2275,ELKHART PARK WY,2014,5.8,1.6,4,<0.8,1.5,0.4,5.2,1,2.5,3.8,0.38,206
2276,ELKHART PARK WY,2015,5.3,5,3.1,1.1,1.1,0.6,3.7,1.1,2.1,3.9,0.33,102
2277,ELKHART PARK WY,2016,5.7,2,4.5,0.8,2.2,0.3,4.8,1.1,2.7,4.4,<0.2,86
2278,ELKHART PARK WY,2017,6,1,6.5,1.6,1.7,0.3,3.8,1.1,2.9,4.8,0.28,180
2279,ELKHART PARK WY,2018,5.9,1.3,6.7,1.6,3,0.5,6.7,1.7,4,4.8,0.41,145
495,FOUR MILE MEADOW WY,1993,5.4,4,3.7,<1.7,<3,0.5,3.2,<1.1,5,5.4,0.4,97
496,FOUR MILE MEADOW WY,1994,5.4,4,5.5,<1.7,5.2,1.5,5.7,2.5,6.7,7,0.6,76
497,FOUR MILE MEADOW WY,1995,5.2,6.3,<3.1,<1.7,<3,0.5,3.5,<1.1,3.3,7,0.8,119
498,FOUR MILE MEADOW WY,1996,5.5,3.2,<3.1,<1.7,1.7,1.3,3,1.4,3.1,4.3,0.7,127
499,FOUR MILE MEADOW WY,1997,5.2,6.3,3.2,2.1,,2.6,2.2,1.4,2.1,3.9,2.6,99
500,FOUR MILE MEADOW WY,1998,5.2,6.3,3.5,0.8,2.2,<0.5,2.6,1.4,3.7,6.3,0.5,89
501,FOUR MILE MEADOW WY,1999,5.3,5,4,0.8,1.3,0.5,4.5,1.1,3.1,6.2,0.4,104
502,FOUR MILE MEADOW WY,2000,5.5,3.2,5.5,1.6,2.3,0.6,3.9,<0.6,3.3,6.3,0.6,94
503,FOUR MILE MEADOW WY,2001,5.2,6.3,6.5,2.5,1.9,0.6,5.9,<0.6,5,10.1,0.66,64
504,FOUR MILE MEADOW WY,2002,5.5,3.2,7,1.6,2.9,1.1,8.4,1.4,5,10,0.82,84
505,FOUR MILE MEADOW WY,2003,5.8,1.6,10,2.5,2.4,1.3,7.2,0.8,4.2,6.8,0.94,107
506,FOUR MILE MEADOW WY,2004,5.3,5,3.4,0.8,<1,<0.4,3.4,0.8,2.3,6.3,0.58,81
507,FOUR MILE MEADOW WY,2005,5.2,6.3,2,0.8,<1,<0.4,5.2,0.6,2.7,6.5,0.35,71
508,FOUR MILE MEADOW WY,2006,5.6,2.5,3,0.8,1,<0.4,3.5,1.4,2.1,5.1,0.43,104
509,FOUR MILE MEADOW WY,2007,5.5,3.2,4.6,0.8,1.4,0.6,4.9,1.1,3.5,5.9,0.51,89
510,FOUR MILE MEADOW WY,2008,5.6,2.5,4.5,0.8,<1,<0.4,6.2,1.1,2.1,6.1,0.32,112
511,FOUR MILE MEADOW WY,2009,6.8,0.2,50.9,7.3,36.3,1,6.4,31,10.6,5.9,0.45,102
512,FOUR MILE MEADOW WY,2010,5.2,6.3,3,0.8,<1,<0.4,4.9,0.8,2.1,7.2,0.33,69
513,FOUR MILE MEADOW WY,2011,5.5,3.2,4.2,0.9,1,<0.4,4.4,0.6,2.1,4.6,0.23,135
514,FOUR MILE MEADOW WY,2012,5,10,9,1.6,3,<0.5,5.9,3.2,3.7,3.6,0.4,102
515,FOUR MILE MEADOW WY,2013,5.3,5,4,<1.6,<0.9,<0.5,7.9,0.8,2.7,5,0.3,97
516,FOUR MILE MEADOW WY,2014,5.6,2.5,3.5,<0.8,1,0.4,5.8,0.8,1,3.1,0.13,127
517,FOUR MILE MEADOW WY,2015,5.9,1.3,8.7,1.6,5.9,0.3,5.7,3.4,4,4.6,0.4,79
518,FOUR MILE MEADOW WY,2016,5.9,1.3,3.5,<0.2,2.2,0.2,7.3,1.1,2.3,3.7,<0.2,109
519,FOUR MILE MEADOW WY,2017,5.6,2.5,2,0.8,0.9,0.2,3.2,0.8,2.1,3.9,<0.2,114
520,FOUR MILE MEADOW WY,2018,6,1,6.2,1.6,2.2,0.5,6.6,1.4,2.5,5.1,0.52,104
2281,FOUR MILE MEADOW WY,1993,5.4,4,3.7,<1.7,<3,0.5,3.2,<1.1,5,5.4,0.4,97
2282,FOUR MILE MEADOW WY,1994,5.4,4,5.5,<1.7,5.2,1.5,5.7,2.5,6.7,7,0.6,76
2283,FOUR MILE MEADOW WY,1995,5.2,6.3,<3.1,<1.7,<3,0.5,3.5,<1.1,3.3,7,0.8,119
2284,FOUR MILE MEADOW WY,1996,5.5,3.2,<3.1,<1.7,1.7,1.3,3,1.4,3.1,4.3,0.7,127
2285,FOUR MILE MEADOW WY,1997,5.2,6.3,3.2,2.1,,2.6,2.2,1.4,2.1,3.9,2.6,99
2286,FOUR MILE MEADOW WY,1998,5.2,6.3,3.5,0.8,2.2,<0.5,2.6,1.4,3.7,6.3,0.5,89
2287,FOUR MILE MEADOW WY,1999,5.3,5,4,0.8,1.3,0.5,4.5,1.1,3.1,6.2,0.4,104
2288,FOUR MILE MEADOW WY,2000,5.5,3.2,5.5,1.6,2.3,0.6,3.9,<0.6,3.3,6.3,0.6,94
2289,FOUR MILE MEADOW WY,2001,5.2,6.3,6.5,2.5,1.9,0.6,5.9,<0.6,5,10.1,0.66,64
2290,FOUR MILE MEADOW WY,2002,5.5,3.2,7,1.6,2.9,1.1,8.4,1.4,5,10,0.82,84
2291,FOUR MILE MEADOW WY,2003,5.8,1.6,10,2.5,2.4,1.3,7.2,0.8,4.2,6.8,0.94,107
2292,FOUR MILE MEADOW WY,2004,5.3,5,3.4,0.8,<1,<0.4,3.4,0.8,2.3,6.3,0.58,81
2293,FOUR MILE MEADOW WY,2005,5.2,6.3,2,0.8,<1,<0.4,5.2,0.6,2.7,6.5,0.35,71
2294,FOUR MILE MEADOW WY,2006,5.6,2.5,3,0.8,1,<0.4,3.5,1.4,2.1,5.1,0.43,104
2295,FOUR MILE MEADOW WY,2007,5.5,3.2,4.6,0.8,1.4,0.6,4.9,1.1,3.5,5.9,0.51,89
2296,FOUR MILE MEADOW WY,2008,5.6,2.5,4.5,0.8,<1,<0.4,6.2,1.1,2.1,6.1,0.32,112
2297,FOUR MILE MEADOW WY,2009,6.8,0.2,50.9,7.3,36.3,1,6.4,31,10.6,5.9,0.45,102
2298,FOUR MILE MEADOW WY,2010,5.2,6.3,3,0.8,<1,<0.4,4.9,0.8,2.1,7.2,0.33,69
2299,FOUR MILE MEADOW WY,2011,5.5,3.2,4.2,0.9,1,<0.4,4.4,0.6,2.1,4.6,0.23,135
2300,FOUR MILE MEADOW WY,2012,5,10,9,1.6,3,<0.5,5.9,3.2,3.7,3.6,0.4,102
2301,FOUR MILE MEADOW WY,2013,5.3,5,4,<1.6,<0.9,<0.5,7.9,0.8,2.7,5,0.3,97
2302,FOUR MILE MEADOW WY,2014,5.6,2.5,3.5,<0.8,1,0.4,5.8,0.8,1,3.1,0.13,127
2303,FOUR MILE MEADOW WY,2015,5.9,1.3,8.7,1.6,5.9,0.3,5.7,3.4,4,4.6,0.4,79
2304,FOUR MILE MEADOW WY,2016,5.9,1.3,3.5,<0.2,2.2,0.2,7.3,1.1,2.3,3.7,<0.2,109
2305,FOUR MILE MEADOW WY,2017,5.6,2.5,2,0.8,0.9,0.2,3.2,0.8,2.1,3.9,<0.2,114
2306,FOUR MILE MEADOW WY,2018,6,1,6.2,1.6,2.2,0.5,6.6,1.4,2.5,5.1,0.52,104
521,FREMONT PASS CO,1993,5.2,6.3,5.6,<1.7,<3,0.8,3.2,<1.1,5.6,6.4,0.7,150
522,FREMONT PASS CO,1994,6.2,0.6,16.7,4.9,<3,7.7,4.3,3.7,6.2,9.9,8.8,104
523,FREMONT PASS CO,1995,5.2,6.3,5.5,<1.7,<3,0.5,2.7,<1.1,3.7,7.4,0.7,175
524,FREMONT PASS CO,1996,5.5,3.2,6.3,<1.7,1.3,0.8,2.1,<1.1,4.6,6.5,0.6,226
525,FREMONT PASS CO,1997,5.4,4,6.4,<1.7,,0.5,1.5,1.7,4,9.3,1.1,178
526,FREMONT PASS CO,1998,5.2,6.3,8,1.6,2.2,<0.5,2.7,2.5,4.4,9.2,0.4,170
527,FREMONT PASS CO,1999,5.8,1.6,16.9,2.5,1.7,1.1,3.2,1.4,5.2,9.3,0.6,130
528,FREMONT PASS CO,2000,5.1,7.9,8,1.6,1.3,0.9,3.9,1.1,5.6,8.6,0.38,140
529,FREMONT PASS CO,2001,5.3,5,5.5,1.6,1.4,0.6,2.9,<0.6,4.6,8.6,0.59,119
530,FREMONT PASS CO,2002,5.6,2.5,10.5,1.6,<1,1.5,1.9,1.1,3.3,9.9,0.7,122
531,FREMONT PASS CO,2003,5.7,2,12.5,3.3,1.1,1.5,3.5,1.1,4.2,8.5,0.62,147
532,FREMONT PASS CO,2004,5.3,5,6.1,1.3,<1,2.8,4.8,0.8,4.2,9,0.87,119
533,FREMONT PASS CO,2005,5.2,6.3,6,0.8,1.3,1.1,3.2,1.1,3.7,7.6,0.45,135
534,FREMONT PASS CO,2006,6.3,0.5,16.9,1.6,1.4,0.5,2.9,1.1,4.6,8.3,0.37,173
535,FREMONT PASS CO,2007,5.5,3.2,9.5,1.9,1.9,2.5,2,1.1,5.4,8.5,0.87,145
536,FREMONT PASS CO,2008,5.6,2.5,12,1.6,1.7,1.6,2.7,1.4,3.5,7.3,0.75,180
537,FREMONT PASS CO,2009,6.5,0.3,32.4,2.5,1.6,1.8,1.9,1.1,5.2,5.6,0.79,160
538,FREMONT PASS CO,2010,6.4,0.4,41.3,3.3,1.3,1.7,4.9,1.1,4.6,9.1,1.15,112
539,FREMONT PASS CO,2011,5.6,2.5,7.1,1.4,1,1.2,3,0.6,2.7,5.3,0.67,193
540,FREMONT PASS CO,2012,5.2,6.3,15,3.3,3,3.1,1.3,2.9,4.6,6.9,1.4,81
541,FREMONT PASS CO,2013,5.5,3.2,13,2.5,2.2,1.3,5.7,2,4.6,7.9,0.5,114
542,FREMONT PASS CO,2014,6.6,0.3,33.9,3.3,2.8,2.5,3.9,1.4,5.6,6.4,0.97,188
543,FREMONT PASS CO,2015,6.1,0.8,3.2,0.8,0.7,<0.1,3,0.8,2.1,4.4,<0.2,117
544,FREMONT PASS CO,2016,6.1,0.8,9.5,0.8,1.3,0.4,3.4,0.8,2.3,4.4,<0.2,155
545,FREMONT PASS CO,2017,5.6,2.5,4,0.8,0.9,0.5,2.1,0.8,2.5,3.9,0.36,168
546,FREMONT PASS CO,2018,6,1,11.9,2.5,1.9,2,4.6,1.7,3.5,5.9,0.96,124
2307,FREMONT PASS CO,1993,5.2,6.3,5.6,<1.7,<3,0.8,3.2,<1.1,5.6,6.4,0.7,150
2308,FREMONT PASS CO,1994,6.2,0.6,16.7,4.9,<3,7.7,4.3,3.7,6.2,9.9,8.8,104
2309,FREMONT PASS CO,1995,5.2,6.3,5.5,<1.7,<3,0.5,2.7,<1.1,3.7,7.4,0.7,175
2310,FREMONT PASS CO,1996,5.5,3.2,6.3,<1.7,1.3,0.8,2.1,<1.1,4.6,6.5,0.6,226
2311,FREMONT PASS CO,1997,5.4,4,6.4,<1.7,,0.5,1.5,1.7,4,9.3,1.1,178
2312,FREMONT PASS CO,1998,5.2,6.3,8,1.6,2.2,<0.5,2.7,2.5,4.4,9.2,0.4,170
2313,FREMONT PASS CO,1999,5.8,1.6,16.9,2.5,1.7,1.1,3.2,1.4,5.2,9.3,0.6,130
2314,FREMONT PASS CO,2000,5.1,7.9,8,1.6,1.3,0.9,3.9,1.1,5.6,8.6,0.38,140
2315,FREMONT PASS CO,2001,5.3,5,5.5,1.6,1.4,0.6,2.9,<0.6,4.6,8.6,0.59,119
2316,FREMONT PASS CO,2002,5.6,2.5,10.5,1.6,<1,1.5,1.9,1.1,3.3,9.9,0.7,122
2317,FREMONT PASS CO,2003,5.7,2,12.5,3.3,1.1,1.5,3.5,1.1,4.2,8.5,0.62,147
2318,FREMONT PASS CO,2004,5.3,5,6.1,1.3,<1,2.8,4.8,0.8,4.2,9,0.87,119
2319,FREMONT PASS CO,2005,5.2,6.3,6,0.8,1.3,1.1,3.2,1.1,3.7,7.6,0.45,135
2320,FREMONT PASS CO,2006,6.3,0.5,16.9,1.6,1.4,0.5,2.9,1.1,4.6,8.3,0.37,173
2321,FREMONT PASS CO,2007,5.5,3.2,9.5,1.9,1.9,2.5,2,1.1,5.4,8.5,0.87,145
2322,FREMONT PASS CO,2008,5.6,2.5,12,1.6,1.7,1.6,2.7,1.4,3.5,7.3,0.75,180
2323,FREMONT PASS CO,2009,6.5,0.3,32.4,2.5,1.6,1.8,1.9,1.1,5.2,5.6,0.79,160
2324,FREMONT PASS CO,2010,6.4,0.4,41.3,3.3,1.3,1.7,4.9,1.1,4.6,9.1,1.15,112
2325,FREMONT PASS CO,2011,5.6,2.5,7.1,1.4,1,1.2,3,0.6,2.7,5.3,0.67,193
2326,FREMONT PASS CO,2012,5.2,6.3,15,3.3,3,3.1,1.3,2.9,4.6,6.9,1.4,81
2327,FREMONT PASS CO,2013,5.5,3.2,13,2.5,2.2,1.3,5.7,2,4.6,7.9,0.5,114
2328,FREMONT PASS CO,2014,6.6,0.3,33.9,3.3,2.8,2.5,3.9,1.4,5.6,6.4,0.97,188
2329,FREMONT PASS CO,2015,6.1,0.8,3.2,0.8,0.7,<0.1,3,0.8,2.1,4.4,<0.2,117
2330,FREMONT PASS CO,2016,6.1,0.8,9.5,0.8,1.3,0.4,3.4,0.8,2.3,4.4,<0.2,155
2331,FREMONT PASS CO,2017,5.6,2.5,4,0.8,0.9,0.5,2.1,0.8,2.5,3.9,0.36,168
2332,FREMONT PASS CO,2018,6,1,11.9,2.5,1.9,2,4.6,1.7,3.5,5.9,0.96,124
547,GALENA SUMMIT ID,2002,5.4,4,2,<0.2,8.2,<0.4,1.3,5.6,2.7,3.8,0.56,135
548,GALENA SUMMIT ID,2003,5.7,2,8.5,5.7,3,0.8,3.5,1.1,3.1,3.6,0.64,185
549,GALENA SUMMIT ID,2004,5.5,3.2,5,1,10.7,0.6,2.8,3.9,6.9,3.1,,145
550,GALENA SUMMIT ID,2005,5.2,6.3,1,<0.2,<1,<0.4,5.4,<0.6,3.7,5.8,0.21,122
551,GALENA SUMMIT ID,2006,5.5,3.2,0.5,<0.2,1,<0.4,2.7,0.8,1.9,3,0.4,236
552,GALENA SUMMIT ID,2007,5.7,2,5.8,0.7,2.3,1.8,2.3,1.7,3.1,5,0.53,145
553,GALENA SUMMIT ID,2008,5.6,2.5,4,<0.2,<1,<0.4,2,<0.6,1.2,2.5,0.36,193
554,GALENA SUMMIT ID,2009,6,1,9,1.6,8.8,0.8,3.3,4.5,5.2,3,0.47,173
555,GALENA SUMMIT ID,2010,5.7,2,9,1.6,13.4,0.7,4.7,5.9,7.1,3.9,0.32,147
556,GALENA SUMMIT ID,2011,6.3,0.5,20.2,3,28.5,1.3,2.4,14.1,11.2,3.9,0.75,170
557,GALENA SUMMIT ID,2012,5,10,5,<1.6,3.5,0.8,1.8,1.6,1.9,2.6,0.5,155
558,GALENA SUMMIT ID,2013,5.4,4,5.5,<1.6,1.7,0.5,5,2.8,2.9,5,0.3,157
559,GALENA SUMMIT ID,2014,6,1,9,1.6,6.1,1.5,3.5,1.9,5.6,3.7,0.61,185
560,GALENA SUMMIT ID,2015,5.5,3.2,2.9,0.7,1.6,0.6,3,1.1,1.7,2.2,0.4,142
561,GALENA SUMMIT ID,2016,5.6,2.5,2,<0.2,2.2,0.3,3.2,0.8,1.5,2.5,<0.2,160
562,GALENA SUMMIT ID,2017,5.5,3.2,1.5,<0.2,1.3,0.2,2.1,0.8,1.9,2.5,0.22,290
563,GALENA SUMMIT ID,2018,5.8,1.6,4.3,0.9,5,0.7,3.9,2,3.7,3.6,0.48,211
2333,GALENA SUMMIT ID,2002,5.4,4,2,<0.2,8.2,<0.4,1.3,5.6,2.7,3.8,0.56,135
2334,GALENA SUMMIT ID,2003,5.7,2,8.5,5.7,3,0.8,3.5,1.1,3.1,3.6,0.64,185
2335,GALENA SUMMIT ID,2004,5.5,3.2,5,1,10.7,0.6,2.8,3.9,6.9,3.1,,145
2336,GALENA SUMMIT ID,2005,5.2,6.3,1,<0.2,<1,<0.4,5.4,<0.6,3.7,5.8,0.21,122
2337,GALENA SUMMIT ID,2006,5.5,3.2,0.5,<0.2,1,<0.4,2.7,0.8,1.9,3,0.4,236
2338,GALENA SUMMIT ID,2007,5.7,2,5.8,0.7,2.3,1.8,2.3,1.7,3.1,5,0.53,145
2339,GALENA SUMMIT ID,2008,5.6,2.5,4,<0.2,<1,<0.4,2,<0.6,1.2,2.5,0.36,193
2340,GALENA SUMMIT ID,2009,6,1,9,1.6,8.8,0.8,3.3,4.5,5.2,3,0.47,173
2341,GALENA SUMMIT ID,2010,5.7,2,9,1.6,13.4,0.7,4.7,5.9,7.1,3.9,0.32,147
2342,GALENA SUMMIT ID,2011,6.3,0.5,20.2,3,28.5,1.3,2.4,14.1,11.2,3.9,0.75,170
2343,GALENA SUMMIT ID,2012,5,10,5,<1.6,3.5,0.8,1.8,1.6,1.9,2.6,0.5,155
2344,GALENA SUMMIT ID,2013,5.4,4,5.5,<1.6,1.7,0.5,5,2.8,2.9,5,0.3,157
2345,GALENA SUMMIT ID,2014,6,1,9,1.6,6.1,1.5,3.5,1.9,5.6,3.7,0.61,185
2346,GALENA SUMMIT ID,2015,5.5,3.2,2.9,0.7,1.6,0.6,3,1.1,1.7,2.2,0.4,142
2347,GALENA SUMMIT ID,2016,5.6,2.5,2,<0.2,2.2,0.3,3.2,0.8,1.5,2.5,<0.2,160
2348,GALENA SUMMIT ID,2017,5.5,3.2,1.5,<0.2,1.3,0.2,2.1,0.8,1.9,2.5,0.22,290
2349,GALENA SUMMIT ID,2018,5.8,1.6,4.3,0.9,5,0.7,3.9,2,3.7,3.6,0.48,211
571,GARNET CANYON WY,1993,5.2,6.3,3.7,2.5,<3,<0.5,3.9,<1.1,7.5,5,0.3,264
572,GARNET CANYON WY,1994,5.2,6.3,<3.1,<1.7,<3,<0.5,4.3,<1.1,4.2,4.6,0.5,190
573,GARNET CANYON WY,1995,5.1,7.9,<3.1,<1.7,<3,<0.5,5.4,<1.1,5,7.8,0.4,201
574,GARNET CANYON WY,1996,5.4,4,<3.1,<1.7,1.3,1.8,1.9,<1.1,3.7,3.7,0.5,290
575,GARNET CANYON WY,1997,5.3,5,<3.1,<1.7,,0.5,3,1.1,3.1,3.2,,239
576,GARNET CANYON WY,1998,5.1,7.9,1.5,0.8,0.9,<0.5,3.5,1.4,3.7,5.8,0.5,178
577,GARNET CANYON WY,1999,5.3,5,3,0.8,1.7,<0.4,5.5,1.1,5.6,5.4,0.3,175
578,GARNET CANYON WY,2000,5.7,2,8,2.5,3.4,0.8,5.8,0.8,5.8,6.5,0.7,175
579,GARNET CANYON WY,2001,5.3,5,6,1.6,2.1,1.2,8.4,<0.6,7.3,10.1,0.7,137
580,GARNET CANYON WY,2002,5.4,4,5.5,1.6,1.7,1,6.2,1.4,6.9,8.4,0.49,137
581,GARNET CANYON WY,2003,6.1,0.8,20.9,4.9,4,3,8.6,1.1,6.9,6.2,0.79,226
582,GARNET CANYON WY,2004,5.6,2.5,9.7,2.5,1.2,2.8,4.9,0.8,5.4,7.6,1.43,119
583,GARNET CANYON WY,2005,5.8,1.6,8,0.8,11.5,1.2,9.7,1.1,8.7,9.1,0.37,127
584,GARNET CANYON WY,2006,5.7,2,6.5,1.6,2.1,0.8,6.2,2,4.6,6.6,0.67,190
585,GARNET CANYON WY,2007,5.5,3.2,6,1.4,1.4,1.9,5,1.4,4.6,6.4,0.86,109
586,GARNET CANYON WY,2008,5.2,6.3,5,0.8,1.1,<0.4,5,0.8,2.5,5.9,0.24,218
587,GARNET CANYON WY,2009,6,1,10.5,2.5,4.7,1.2,6.3,3.9,5.2,6.9,0.67,188
588,GARNET CANYON WY,2010,5.1,7.9,3.5,1.6,<1,0.7,6.7,0.8,3.5,7.7,0.72,86
589,GARNET CANYON WY,2011,5.5,3.2,6.8,1.9,1.8,1.8,4.9,1.4,4.2,6.6,1.23,239
590,GARNET CANYON WY,2012,5.5,3.2,22,4.1,11.7,2.8,7.6,7.3,7.7,6.6,0.9,279
591,GARNET CANYON WY,2013,5.5,3.2,9.5,2.5,2.2,1,12.1,2.8,5.6,8.6,0.7,170
592,GARNET CANYON WY,2014,6.3,0.5,9.5,2.5,3.6,3.1,9,2.2,4,4.7,1.1,249
593,GARNET CANYON WY,2015,5.7,2,5.1,1.6,2.7,1.5,5.9,2.3,3.1,4,0.51,180
594,GARNET CANYON WY,2016,5.7,2,7,1.6,2.6,2.9,5.9,1.7,3.3,4.8,0.6,152
595,GARNET CANYON WY,2017,5.7,2,3,0.8,1.3,0.5,3.1,0.6,2.1,2.5,0.46,279
596,GARNET CANYON WY,2018,5.9,1.3,11.3,2.6,3,1.5,7.1,1.7,3.5,5.2,0.8,147
2357,GARNET CANYON WY,1993,5.2,6.3,3.7,2.5,<3,<0.5,3.9,<1.1,7.5,5,0.3,264
2358,GARNET CANYON WY,1994,5.2,6.3,<3.1,<1.7,<3,<0.5,4.3,<1.1,4.2,4.6,0.5,190
2359,GARNET CANYON WY,1995,5.1,7.9,<3.1,<1.7,<3,<0.5,5.4,<1.1,5,7.8,0.4,201
2360,GARNET CANYON WY,1996,5.4,4,<3.1,<1.7,1.3,1.8,1.9,<1.1,3.7,3.7,0.5,290
2361,GARNET CANYON WY,1997,5.3,5,<3.1,<1.7,,0.5,3,1.1,3.1,3.2,,239
2362,GARNET CANYON WY,1998,5.1,7.9,1.5,0.8,0.9,<0.5,3.5,1.4,3.7,5.8,0.5,178
2363,GARNET CANYON WY,1999,5.3,5,3,0.8,1.7,<0.4,5.5,1.1,5.6,5.4,0.3,175
2364,GARNET CANYON WY,2000,5.7,2,8,2.5,3.4,0.8,5.8,0.8,5.8,6.5,0.7,175
2365,GARNET CANYON WY,2001,5.3,5,6,1.6,2.1,1.2,8.4,<0.6,7.3,10.1,0.7,137
2366,GARNET CANYON WY,2002,5.4,4,5.5,1.6,1.7,1,6.2,1.4,6.9,8.4,0.49,137
2367,GARNET CANYON WY,2003,6.1,0.8,20.9,4.9,4,3,8.6,1.1,6.9,6.2,0.79,226
2368,GARNET CANYON WY,2004,5.6,2.5,9.7,2.5,1.2,2.8,4.9,0.8,5.4,7.6,1.43,119
2369,GARNET CANYON WY,2005,5.8,1.6,8,0.8,11.5,1.2,9.7,1.1,8.7,9.1,0.37,127
2370,GARNET CANYON WY,2006,5.7,2,6.5,1.6,2.1,0.8,6.2,2,4.6,6.6,0.67,190
2371,GARNET CANYON WY,2007,5.5,3.2,6,1.4,1.4,1.9,5,1.4,4.6,6.4,0.86,109
2372,GARNET CANYON WY,2008,5.2,6.3,5,0.8,1.1,<0.4,5,0.8,2.5,5.9,0.24,218
2373,GARNET CANYON WY,2009,6,1,10.5,2.5,4.7,1.2,6.3,3.9,5.2,6.9,0.67,188
2374,GARNET CANYON WY,2010,5.1,7.9,3.5,1.6,<1,0.7,6.7,0.8,3.5,7.7,0.72,86
2375,GARNET CANYON WY,2011,5.5,3.2,6.8,1.9,1.8,1.8,4.9,1.4,4.2,6.6,1.23,239
2376,GARNET CANYON WY,2012,5.5,3.2,22,4.1,11.7,2.8,7.6,7.3,7.7,6.6,0.9,279
2377,GARNET CANYON WY,2013,5.5,3.2,9.5,2.5,2.2,1,12.1,2.8,5.6,8.6,0.7,170
