,StationName,WaterYear,pH,H (ueq/L),Ca (ueq/L),Mg (ueq/L),Na (ueq/L),K (ueq/L),NH4 (ueq/L),Cl (ueq/L),SO4 (ueq/L),NO3 (ueq/L),DOC (mg/L),Snow Depth (cm)
35,BANNER SUMMIT ID,2009,6.1,0.8,10.5,1.6,9.6,0.6,3,4.2,5.2,2.6,0.36,185
36,BANNER SUMMIT ID,2010,5.7,2,6.5,1.6,5.4,1,2.7,1.7,4,3.3,0.77,122
37,BANNER SUMMIT ID,2011,6.7,0.2,40.8,4.6,74.8,2.6,2.2,31,22.9,2.9,0.87,180
38,BANNER SUMMIT ID,2012,5.2,6.3,4.5,<1.6,10,0.5,3.2,2.2,3.3,2.1,0.5,170
39,BANNER SUMMIT ID,2013,5.3,5,4,<1.6,0.9,<0.5,2.9,0.6,2.3,2.9,0.3,160
40,BANNER SUMMIT ID,2014,5.9,1.3,5.5,0.8,4.6,0.5,2.1,0.9,3.5,2.3,0.33,203
41,BANNER SUMMIT ID,2015,5.5,3.2,1,0.3,0.8,0.1,1.9,<0.6,1.2,1.6,0.2,122
42,BANNER SUMMIT ID,2016,5.5,3.2,0.5,<0.2,0.9,0.2,2.3,<0.6,1,1.6,<0.2,163
43,BANNER SUMMIT ID,2017,5.7,2,4,<0.2,2.6,0.6,2.4,2,1.5,2.6,0.32,284
44,BANNER SUMMIT ID,2018,5.9,1.3,4,0.8,6,0.5,3.3,1.7,3.3,3.3,0.38,180
1814,BANNER SUMMIT ID,2002,5.5,3.2,1.5,<0.2,1.4,<0.4,3.5,<0.6,2.5,3.4,0.21,201
1815,BANNER SUMMIT ID,2003,5.6,2.5,7.5,1.6,6.7,0.6,3.4,1.4,3.3,3.1,0.39,226
1816,BANNER SUMMIT ID,2004,6.1,0.8,15.4,2.2,32.7,0.5,<1,12.4,15.6,3,0.3,173
1817,BANNER SUMMIT ID,2005,5.2,6.3,0.5,<0.2,<1,<0.4,2.8,0.6,2.5,4.1,<0.2,109
1818,BANNER SUMMIT ID,2006,5.5,3.2,<0.4,<0.2,<1,<0.4,2,0.8,1.5,2.3,0.29,239
1819,BANNER SUMMIT ID,2007,5.6,2.5,4.5,0.5,4.4,0.5,3,1.7,3.7,4.1,0.32,160
1820,BANNER SUMMIT ID,2008,5.5,3.2,4,<0.2,2.1,0.6,1.9,0.6,1.7,2.7,0.28,183
1821,BANNER SUMMIT ID,2009,6.1,0.8,10.5,1.6,9.6,0.6,3,4.2,5.2,2.6,0.36,185
1822,BANNER SUMMIT ID,2010,5.7,2,6.5,1.6,5.4,1,2.7,1.7,4,3.3,0.77,122
1823,BANNER SUMMIT ID,2011,6.7,0.2,40.8,4.6,74.8,2.6,2.2,31,22.9,2.9,0.87,180
1824,BANNER SUMMIT ID,2012,5.2,6.3,4.5,<1.6,10,0.5,3.2,2.2,3.3,2.1,0.5,170
1825,BANNER SUMMIT ID,2013,5.3,5,4,<1.6,0.9,<0.5,2.9,0.6,2.3,2.9,0.3,160
1826,BANNER SUMMIT ID,2014,5.9,1.3,5.5,0.8,4.6,0.5,2.1,0.9,3.5,2.3,0.33,203
1827,BANNER SUMMIT ID,2015,5.5,3.2,1,0.3,0.8,0.1,1.9,<0.6,1.2,1.6,0.2,122
1828,BANNER SUMMIT ID,2016,5.5,3.2,0.5,<0.2,0.9,0.2,2.3,<0.6,1,1.6,<0.2,163
1829,BANNER SUMMIT ID,2017,5.7,2,4,<0.2,2.6,0.6,2.4,2,1.5,2.6,0.32,284
1830,BANNER SUMMIT ID,2018,5.9,1.3,4,0.8,6,0.5,3.3,1.7,3.3,3.3,0.38,180
53,BERTHOUD PASS CO,1993,5,10,3.7,<1.7,<3,<0.5,3.2,1.1,6.2,7.9,0.4,239
54,BERTHOUD PASS CO,1994,4.9,12.6,4.5,<1.7,<3,<0.5,2.5,1.7,4.6,9.1,0.3,185
55,BERTHOUD PASS CO,1995,5.2,6.3,<3.1,<1.7,3.9,<0.5,2.9,1.7,4.4,7,0.4,145
56,BERTHOUD PASS CO,1996,5.2,6.3,3.6,<1.7,2.2,0.5,1.5,1.1,4.4,6.8,0.5,213
57,BERTHOUD PASS CO,1997,5.1,7.9,5.7,<1.7,,1,3,1.7,5.4,7.9,0.9,221
58,BERTHOUD PASS CO,1998,5.1,7.9,5.5,0.8,4.8,0.8,3.5,5.1,5.6,8.9,0.8,196
59,BERTHOUD PASS CO,1999,5.3,5,11,2.5,3.9,2.4,4.4,3.4,5.6,10.5,1.8,170
60,BERTHOUD PASS CO,2000,5.1,7.9,5.5,1.6,8.3,1.2,4.4,7.6,5.2,9,0.75,193
61,BERTHOUD PASS CO,2001,5.1,7.9,5.7,1.1,3.1,1.6,4,2.3,6,12.2,0.9,190
62,BERTHOUD PASS CO,2002,5.2,6.3,10.5,1.6,2.4,0.8,3.7,2.8,4.8,13.4,0.61,130
63,BERTHOUD PASS CO,2003,5.3,5,9,4.9,4.6,3.1,6.2,4.2,4.2,10.6,1.65,198
64,BERTHOUD PASS CO,2004,5.3,5,6.2,1.3,1,0.9,5.7,1.4,4.4,9.7,0.67,165
65,BERTHOUD PASS CO,2005,5.2,6.3,7.5,0.8,5.1,0.9,5.7,3.9,6,11.1,0.49,203
66,BERTHOUD PASS CO,2006,6.5,0.3,36.9,2.5,3.3,0.8,3.2,2.8,5.6,8.6,,201
67,BERTHOUD PASS CO,2007,5.3,5,6.2,1.2,2.3,1.5,1.3,2.5,3.7,8.1,0.74,173
68,BERTHOUD PASS CO,2008,5.1,7.9,14.4,2.5,3.1,2.3,2.7,2.8,4.8,9.7,0.84,203
69,BERTHOUD PASS CO,2009,6.4,0.4,31.9,2.5,3.2,2.7,<1,2.5,7.1,7.5,1.17,188
70,BERTHOUD PASS CO,2010,5.7,2,15.9,3.3,4.2,1.7,5.5,3.7,5.2,11.1,1.11,168
71,BERTHOUD PASS CO,2011,5.5,3.2,7,1.4,1.7,1.6,2.2,1.4,3.1,6.3,1.27,206
72,BERTHOUD PASS CO,2012,5.3,5,16,3.3,7,1.3,3.7,5.6,6.7,7.3,0.8,117
73,BERTHOUD PASS CO,2013,5.5,3.2,13.5,3.3,2.6,2,6.4,2.8,5.8,9.3,1,165
74,BERTHOUD PASS CO,2014,6.5,0.3,18.5,3.3,2,6.8,14.4,2.3,4.6,6.9,1.7,218
75,BERTHOUD PASS CO,2015,5.5,3.2,5.5,1.1,1.5,0.7,3.4,1.4,2.7,5.4,0.69,160
76,BERTHOUD PASS CO,2016,5.5,3.2,9,1.6,3,2.1,<1,2.5,3.1,3.5,1.42,188
77,BERTHOUD PASS CO,2017,5.8,1.6,7,0.8,3.9,1,3.7,3.7,3.7,6.1,0.75,180
78,BERTHOUD PASS CO,2018,6,1,10.8,2.6,3.2,2.1,6.2,2.5,4.2,6.4,0.86,226
1839,BERTHOUD PASS CO,1993,5,10,3.7,<1.7,<3,<0.5,3.2,1.1,6.2,7.9,0.4,239
