,StationName,WaterYear,pH,Hydrogen,Calcium,Magnesium,Sodium,Potassium,Ammonium,Chloride,Sulfate,Nitrate,Dissolved_organic_carbon,Snow_depth
80,BIG MOUNTAIN MT,1994,5.0,10.0,<3.1,<1.7,<3,<0.5,3.9,<1.1,4.8,6.2,0.6,229.0
81,BIG MOUNTAIN MT,1995,5.2,6.3,<3.1,<1.7,<3,0.5,3.3,<1.1,3.7,4.4,0.7,267.0
82,BIG MOUNTAIN MT,1996,5.2,6.3,<3.1,<1.7,<0.9,0.5,2.2,<1.1,2.9,3.1,0.6,287.0
83,BIG MOUNTAIN MT,1997,5.0,10.0,<3.1,<1.7,,<0.5,2,<1.1,3.7,4.6,,366.0
84,BIG MOUNTAIN MT,1998,5.1,7.9,2,<0.2,1.3,<0.5,3,1.1,3.5,5.1,0.5,231.0
85,BIG MOUNTAIN MT,1999,5.2,6.3,1,<0.2,<1,<0.4,4,0.8,3.3,3.7,0.3,366.0
86,BIG MOUNTAIN MT,2000,5.2,6.3,1,0.8,<1,<0.4,2.4,<0.6,3.1,4.9,0.5,267.0
87,BIG MOUNTAIN MT,2001,5.0,10.0,2,0.8,1.5,<0.4,4.3,<0.6,6,8.4,0.5,132.0
88,BIG MOUNTAIN MT,2002,5.3,5.0,1.5,<0.2,5.4,<0.4,4.9,0.6,2.7,4.9,0.36,297.0
89,BIG MOUNTAIN MT,2003,5.2,6.3,2.5,0.8,1.1,<0.4,4,0.8,2.7,4.6,0.4,259.0
90,BIG MOUNTAIN MT,2004,5.1,7.9,0.7,0.2,<1,1.2,3.3,1.4,3.5,5.3,0.62,251.0
91,BIG MOUNTAIN MT,2005,5.1,7.9,<0.4,<0.2,<1,<0.4,3,1.1,3.5,5.5,0.23,160.0
92,BIG MOUNTAIN MT,2006,5.3,5.0,<0.4,<0.2,<1,<0.4,2.8,1.4,2.3,3.8,0.21,305.0
93,BIG MOUNTAIN MT,2007,5.2,6.3,1.7,0.4,1.4,<0.4,2.2,1.4,3.1,4.1,0.29,259.0
94,BIG MOUNTAIN MT,2008,5.1,7.9,4,<0.2,<1,<0.4,2.2,0.6,2.5,4,0.25,297.0
95,BIG MOUNTAIN MT,2009,5.3,5.0,<0.4,<0.2,<1,<0.4,2.4,<0.6,2.3,3.1,0.22,239.0
96,BIG MOUNTAIN MT,2010,5.3,5.0,1.5,0.8,1.1,0.6,4,0.8,2.9,4.1,0.48,196.0
97,BIG MOUNTAIN MT,2011,5.2,6.3,0.9,0.2,<1,<0.4,2.4,<0.6,2.5,3.4,0.24,315.0
98,BIG MOUNTAIN MT,2012,4.7,20.0,2,<1.6,1.3,<0.5,4.7,1.1,2.9,3.9,0.2,264.0
99,BIG MOUNTAIN MT,2013,5.0,10.0,3.5,<1.6,<0.9,<0.5,3.5,0.8,2.7,4.3,0.2,254.0
100,BIG MOUNTAIN MT,2014,5.5,3.2,1.5,<0.8,0.7,<0.3,2.6,0.5,2.3,3.7,0.3,254.0
101,BIG MOUNTAIN MT,2015,5.4,4.0,0.7,0.2,0.4,0.2,2.2,<0.6,1.5,2.5,<0.2,196.0
102,BIG MOUNTAIN MT,2016,5.3,5.0,0.5,<0.2,0.9,0.4,2.4,<0.6,1.5,2.5,0.31,269.0
103,BIG MOUNTAIN MT,2017,5.3,5.0,0.5,<0.2,0.9,0.3,2.6,0.8,2.5,3.5,0.28,312.0
104,BIG MOUNTAIN MT,2018,5.4,4.0,1.4,0.6,1,0.2,2.7,0.8,1.9,3.4,0.37,297.0
105,BIG SKY MT,1993,5.4,4.0,5.1,<1.7,4.3,0.5,5.4,1.1,6.7,7.6,0.5,137.0
106,BIG SKY MT,1994,5.8,1.6,8.1,<1.7,4.8,0.8,6,1.7,7.3,6.9,0.7,173.0
107,BIG SKY MT,1995,5.4,4.0,4.5,<1.7,<3,0.5,4.4,<1.1,4.2,5.1,0.7,196.0
108,BIG SKY MT,1996,5.6,2.5,4.3,<1.7,<0.9,1.3,2.3,<1.1,3.3,5.2,0.5,257.0
109,BIG SKY MT,1997,5.4,4.0,<3.1,<1.7,,<0.5,2.4,<1.1,2.1,3.4,0.6,188.0
110,BIG SKY MT,1998,5.2,6.3,3.5,0.8,0.9,<0.5,3.7,0.8,3.5,5.6,0.7,127.0
111,BIG SKY MT,1999,5.5,3.2,5.5,0.8,<1,<0.4,4.2,1.4,3.3,5.4,0.3,239.0
112,BIG SKY MT,2000,5.5,3.2,5,1.6,<1,0.7,4,<0.6,2.5,4.6,0.6,119.0
113,BIG SKY MT,2001,5.4,4.0,4,0.8,<1,0.5,4.2,<0.6,4.4,6.6,0.5,124.0
114,BIG SKY MT,2002,5.5,3.2,5,0.8,<1,0.5,4.5,0.6,2.9,4.7,0.62,119.0
115,BIG SKY MT,2003,5.7,2.0,9.5,2.5,4.8,0.8,4.7,3.1,3.7,4.9,0.54,178.0
116,BIG SKY MT,2004,5.4,4.0,2.7,0.4,<1,<0.4,3,0.6,2.9,4.4,0.28,76.0
117,BIG SKY MT,2005,5.5,3.2,9,1.6,<1,0.7,4.7,2.5,3.1,6,0.31,58.0
118,BIG SKY MT,2006,5.9,1.3,7,1.6,3.5,0.7,5.7,3.4,5,4.6,0.51,150.0
119,BIG SKY MT,2007,5.6,2.5,4.5,0.7,<1,0.6,3.7,0.8,2.7,3.8,0.37,114.0
120,BIG SKY MT,2008,5.9,1.3,13.4,1.6,1.3,0.8,8,1.1,5.2,7.2,0.5,150.0
121,BIG SKY MT,2009,5.7,2.0,4.5,0.8,2.2,0.7,4.2,0.8,2.7,4.6,0.77,102.0
